iter	Passed	Remaining
0	0	66
1	1	63
2	1	58
3	2	53
4	2	52
5	3	51
6	3	50
7	4	50
8	4	49
9	5	49
10	6	48
11	6	50
12	7	50
13	8	51
14	9	51
15	9	50
16	10	50
17	11	50
18	11	49
19	12	48
20	12	48
21	13	48
22	14	47
23	14	47
24	15	46
25	16	45
26	16	45
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	36
41	26	35
42	26	35
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	52	13
79	52	13
80	53	12
81	54	11
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	67	0
